S.No,Zone,Commissionerate,Division,Range,HSN Code,Chapter,No. of GSTNs_z1,Taxable value 24_25_z2,YoY growth_z3
2530,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,6142,61,,2740.000000000,-0.999465
2531,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,6132,61,,2739.990000000,-0.643097
2532,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,6135,61,,2740.000000000,-0.463049
2533,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,7659,76,,760.170000000,-
2534,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,8378,83,,756.770000000,-
2535,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,6131,61,,2712.590000000,-0.680515
2536,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,0222,22,,750.000000000,-
2537,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,3936,39,,750.000000000,-0.973516
2538,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,7394,73,,732.720000000,-0.820789
2539,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,1841,18,,731.990000000,-
2540,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,8227,82,,730.760000000,-0.618605
2541,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,2062,20,,2621.940000000,0.835321
2542,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,9812,98,,728.000000000,-0.404742
2543,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,3047,30,,727.120000000,-0.475548
