S.No,Zone,Commissionerate,Division,Range,HSN Code,Chapter,No. of GSTNs_z1,Taxable value 24_25_z2,YoY growth_z3
193,DELHI,DELHI EAST,All Divisions,All Ranges,6110,61,,4656424782.7999992,-7.4934000000000001E-2
194,DELHI,DELHI EAST,All Divisions,All Ranges,5408,54,,6467536619.1000004,-1.5472E-2
195,DELHI,DELHI EAST,All Divisions,All Ranges,8482,84,,1853755839.6400001,-0.341391
196,DELHI,DELHI EAST,All Divisions,All Ranges,2101,21,,1740237945.5599999,-6.8932999999999994E-2
197,DELHI,DELHI EAST,All Divisions,All Ranges,7215,72,,1731780551.3900001,-9.3481999999999996E-2
198,DELHI,DELHI EAST,All Divisions,All Ranges,8542,85,,1751155931.9400001,0.13589799999999999
199,DELHI,DELHI EAST,All Divisions,All Ranges,6111,61,,5998328577.3799992,1.3948E-2
200,DELHI,DELHI EAST,All Divisions,All Ranges,2903,29,,1755279318.1900001,-1.8197000000000001E-2
201,DELHI,DELHI EAST,All Divisions,All Ranges,7206,72,,1699334582.51,1.1655869999999999
202,DELHI,DELHI EAST,All Divisions,All Ranges,4818,48,,1693848313.02,8.4156999999999996E-2
203,DELHI,DELHI EAST,All Divisions,All Ranges,3303,33,,1703762695.9400001,0.22997500000000001
204,DELHI,DELHI EAST,All Divisions,All Ranges,9004,90,,1689041700.54,0.2014
205,DELHI,DELHI EAST,All Divisions,All Ranges,8442,84,,1655447149.0999999,-0.97696000000000005
206,DELHI,DELHI EAST,All Divisions,All Ranges,9608,96,,1663114792.73,5.9251999999999999E-2
207,DELHI,DELHI EAST,All Divisions,All Ranges,8546,85,,1652899532.6400001,-8.5980000000000001E-2
208,DELHI,DELHI EAST,All Divisions,All Ranges,6307,63,,3358402148.3699999,4.5317999999999997E-2
209,DELHI,DELHI EAST,All Divisions,All Ranges,4016,40,,1816444152.8499999,8.4262000000000004E-2
210,DELHI,DELHI EAST,All Divisions,All Ranges,3925,39,,1611450510.03,-9.0065000000000006E-2
211,DELHI,DELHI EAST,All Divisions,All Ranges,2905,29,,1644373423.21,0.21546199999999999
212,DELHI,DELHI EAST,All Divisions,All Ranges,5402,54,,2330262214.4500008,-7.4633000000000005E-2
213,DELHI,DELHI EAST,All Divisions,All Ranges,7304,73,,1657853592.309999,0.30462
214,DELHI,DELHI EAST,All Divisions,All Ranges,2902,29,,1637035278.1199999,0.26069700000000001
215,DELHI,DELHI EAST,All Divisions,All Ranges,7102,71,,19570267041.32,2.7720349999999998
216,DELHI,DELHI EAST,All Divisions,All Ranges,1902,19,,2521567690.3200002,-4.7417000000000001E-2
217,DELHI,DELHI EAST,All Divisions,All Ranges,9607,96,,2325866982.6100001,1.9345000000000001E-2
218,DELHI,DELHI EAST,All Divisions,All Ranges,8301,83,,1645067333.8800001,-0.121068
219,DELHI,DELHI EAST,All Divisions,All Ranges,8701,87,,1969789418.8800001,4.9088710000000004
220,DELHI,DELHI EAST,All Divisions,All Ranges,7321,73,,1603906518.02,-0.22540299999999999
221,DELHI,DELHI EAST,All Divisions,All Ranges,9603,96,,1880757136.1400001,-8.8502999999999998E-2
222,DELHI,DELHI EAST,All Divisions,All Ranges,0406,40,,4000783056.73,3.9528000000000001E-2
223,DELHI,DELHI EAST,All Divisions,All Ranges,8532,85,,1510157307.1700001,0.50714700000000001
224,DELHI,DELHI EAST,All Divisions,All Ranges,7407,74,,1518178006.7,2.0265930000000001
225,DELHI,DELHI EAST,All Divisions,All Ranges,8512,85,,1524524450.97,0.27737099999999998
226,DELHI,DELHI EAST,All Divisions,All Ranges,0804,80,,2970389649.6300001,8.3946999999999994E-2
227,DELHI,DELHI EAST,All Divisions,All Ranges,9402,94,,1558968795,0.26937299999999997
228,DELHI,DELHI EAST,All Divisions,All Ranges,8524,85,,1482132872.3899989,-0.47135500000000002
229,DELHI,DELHI EAST,All Divisions,All Ranges,5509,55,,2165555733.9699998,-0.399536
230,DELHI,DELHI EAST,All Divisions,All Ranges,7326,73,,1560849150.02,-0.122281
231,DELHI,DELHI EAST,All Divisions,All Ranges,9024,90,,1476941930.0200009,-6.0803000000000003E-2
232,DELHI,DELHI EAST,All Divisions,All Ranges,2917,29,,1521363230.96,4.7298E-2
233,DELHI,DELHI EAST,All Divisions,All Ranges,8526,85,,1423146025.3800001,-0.61122699999999996
234,DELHI,DELHI EAST,All Divisions,All Ranges,0403,40,,5869280973.7399998,0.112527
235,DELHI,DELHI EAST,All Divisions,All Ranges,7307,73,,1512714608.8599999,-0.18914400000000001
236,DELHI,DELHI EAST,All Divisions,All Ranges,2201,22,,1577444311.3400011,0.170545
237,DELHI,DELHI EAST,All Divisions,All Ranges,2914,29,,1534840558.4300001,2.735E-3
238,DELHI,DELHI EAST,All Divisions,All Ranges,3908,39,,1372423078.5599999,0.133606
239,DELHI,DELHI EAST,All Divisions,All Ranges,3812,38,,1351596333.48,-0.22739899999999999
240,DELHI,DELHI EAST,All Divisions,All Ranges,4901,49,,6836566867.7800007,0.14638899999999999
241,DELHI,DELHI EAST,All Divisions,All Ranges,5007,50,,4819598358.2600002,1.9512999999999999E-2
242,DELHI,DELHI EAST,All Divisions,All Ranges,8311,83,,1331364875.1700001,0.40949200000000002
243,DELHI,DELHI EAST,All Divisions,All Ranges,6910,69,,1381101170.8399999,4.4615000000000002E-2
244,DELHI,DELHI EAST,All Divisions,All Ranges,3814,38,,1319719857.02,-7.3150999999999994E-2
245,DELHI,DELHI EAST,All Divisions,All Ranges,2103,21,,1795980793.5100009,-1.6362999999999999E-2
246,DELHI,DELHI EAST,All Divisions,All Ranges,7616,76,,1410658423.3700011,-1.3173000000000001E-2
247,DELHI,DELHI EAST,All Divisions,All Ranges,5508,55,,1949130240.4100001,-0.25280399999999997
248,DELHI,DELHI EAST,All Divisions,All Ranges,3823,38,,1297192238.76,-0.171602
249,DELHI,DELHI EAST,All Divisions,All Ranges,1516,15,,4505001273.9000006,0.17056499999999999
250,DELHI,DELHI EAST,All Divisions,All Ranges,9032,90,,1352287976.5,-5.9394000000000002E-2
251,DELHI,DELHI EAST,All Divisions,All Ranges,5515,55,,4554912753.0600004,2.5139000000000002E-2
252,DELHI,DELHI EAST,All Divisions,All Ranges,5603,56,,1929127088.0500009,0.28047800000000001
253,DELHI,DELHI EAST,All Divisions,All Ranges,6805,68,,1250956291.6199999,-0.13204399999999999
254,DELHI,DELHI EAST,All Divisions,All Ranges,6304,63,,3440493059.9499989,9.8705000000000001E-2
255,DELHI,DELHI EAST,All Divisions,All Ranges,2005,20,,1789135603.4100001,-3.8346999999999999E-2
256,DELHI,DELHI EAST,All Divisions,All Ranges,1514,15,,4414372475.7900009,9.9372000000000002E-2
257,DELHI,DELHI EAST,All Divisions,All Ranges,8506,85,,1202371224.6500001,0.163964
258,DELHI,DELHI EAST,All Divisions,All Ranges,9011,90,,1237530722.0999999,8.7290000000000006E-3
259,DELHI,DELHI EAST,All Divisions,All Ranges,6212,62,,4068922802.3300071,-3.8343000000000002E-2
260,DELHI,DELHI EAST,All Divisions,All Ranges,8447,84,,1211200568.5899999,0.270955
261,DELHI,DELHI EAST,All Divisions,All Ranges,3102,31,,1193700327.46,0.49733699999999997
262,DELHI,DELHI EAST,All Divisions,All Ranges,7201,72,,1190891903.51,0.17088800000000001
263,DELHI,DELHI EAST,All Divisions,All Ranges,3206,32,,1221113810.04,0.55442199999999997
264,DELHI,DELHI EAST,All Divisions,All Ranges,0801,80,,4900873375.8299999,9.1273999999999994E-2
265,DELHI,DELHI EAST,All Divisions,All Ranges,0902,90,,4274265387.7600002,1.3671000000000001E-2
266,DELHI,DELHI EAST,All Divisions,All Ranges,9404,94,,1418721366.4100001,-0.19297400000000001
267,DELHI,DELHI EAST,All Divisions,All Ranges,2907,29,,1218473203.5599999,0.82109299999999996
