S.No,Zone,Commissionerate,Division,Range,HSN Code,Chapter,No. of GSTNs_z1,Taxable value 24_25_z2,YoY growth_z3
243,DELHI,DELHI EAST,MANDOLI,All Ranges,8310,83,,130971657.320000000,0.209307
244,DELHI,DELHI EAST,MANDOLI,All Ranges,6108,61,,464634383.420000100,0.229359
245,DELHI,DELHI EAST,MANDOLI,All Ranges,6704,67,,136479462.420000000,0.218229
246,DELHI,DELHI EAST,MANDOLI,All Ranges,5603,56,,193749665.150000100,2.724429
247,DELHI,DELHI EAST,MANDOLI,All Ranges,6307,63,,387117363.439999900,0.288493
248,DELHI,DELHI EAST,MANDOLI,All Ranges,2836,28,,129051265.660000000,-0.024152
249,DELHI,DELHI EAST,MANDOLI,All Ranges,3215,32,,129424953.270000000,0.056323
250,DELHI,DELHI EAST,MANDOLI,All Ranges,3812,38,,126856228.090000000,0.667194
251,DELHI,DELHI EAST,MANDOLI,All Ranges,8208,82,,129698468.680000000,0.641613
252,DELHI,DELHI EAST,MANDOLI,All Ranges,7402,74,,126021323.750000000,-0.299061
253,DELHI,DELHI EAST,MANDOLI,All Ranges,6111,61,,441477271.130000100,0.292574
254,DELHI,DELHI EAST,MANDOLI,All Ranges,3910,39,,125099951.680000000,1.314124
255,DELHI,DELHI EAST,MANDOLI,All Ranges,8542,85,,124600884.400000000,0.935083
256,DELHI,DELHI EAST,MANDOLI,All Ranges,7005,70,,121895132.620000000,-0.074933
257,DELHI,DELHI EAST,MANDOLI,All Ranges,6702,67,,122058351.420000000,0.354707
258,DELHI,DELHI EAST,MANDOLI,All Ranges,7301,73,,120531038.860000000,-0.327949
259,DELHI,DELHI EAST,MANDOLI,All Ranges,6401,64,,123575090.970000000,5.572636
260,DELHI,DELHI EAST,MANDOLI,All Ranges,3822,38,,153287423.480000100,0.321191
261,DELHI,DELHI EAST,MANDOLI,All Ranges,2933,29,,117411928.440000000,2.580171
262,DELHI,DELHI EAST,MANDOLI,All Ranges,7419,74,,118635063.210000000,0.740576
263,DELHI,DELHI EAST,MANDOLI,All Ranges,8515,85,,115502071.650000000,-0.013278
264,DELHI,DELHI EAST,MANDOLI,All Ranges,3814,38,,115878128.500000000,-0.306470
265,DELHI,DELHI EAST,MANDOLI,All Ranges,8532,85,,114911187.430000000,-0.005258
266,DELHI,DELHI EAST,MANDOLI,All Ranges,8466,84,,115244146.920000000,0.453321
267,DELHI,DELHI EAST,MANDOLI,All Ranges,8104,81,,119143685.220000000,-0.205095
268,DELHI,DELHI EAST,MANDOLI,All Ranges,2915,29,,115765472.660000000,0.163848
269,DELHI,DELHI EAST,MANDOLI,All Ranges,2105,21,,112288032.530000000,-0.333090
270,DELHI,DELHI EAST,MANDOLI,All Ranges,4421,44,,123562927.130000000,1.538617
271,DELHI,DELHI EAST,MANDOLI,All Ranges,4911,49,,119906386.140000000,-0.532159
272,DELHI,DELHI EAST,MANDOLI,All Ranges,1901,19,,135089872.200000000,0.740434
273,DELHI,DELHI EAST,MANDOLI,All Ranges,0910,91,,389842026.640000000,0.504244
274,DELHI,DELHI EAST,MANDOLI,All Ranges,1702,17,,107378769.530000000,0.287208
275,DELHI,DELHI EAST,MANDOLI,All Ranges,8543,85,,109200814.070000000,0.239130
276,DELHI,DELHI EAST,MANDOLI,All Ranges,7312,73,,107496142.630000000,0.231640
277,DELHI,DELHI EAST,MANDOLI,All Ranges,2619,26,,105173438.550000000,0.781183
278,DELHI,DELHI EAST,MANDOLI,All Ranges,8546,85,,104020334.600000000,-0.598313
279,DELHI,DELHI EAST,MANDOLI,All Ranges,2701,27,,195042922.950000000,28.735024
280,DELHI,DELHI EAST,MANDOLI,All Ranges,9032,90,,102627241.010000000,0.710492
281,DELHI,DELHI EAST,MANDOLI,All Ranges,7018,70,,118726299.070000000,0.161489
282,DELHI,DELHI EAST,MANDOLI,All Ranges,9609,96,,161878700.980000000,-0.097288
283,DELHI,DELHI EAST,MANDOLI,All Ranges,8505,85,,100925054.640000000,0.493155
284,DELHI,DELHI EAST,MANDOLI,All Ranges,7310,73,,99414341.550000000,-0.332991
285,DELHI,DELHI EAST,MANDOLI,All Ranges,8480,84,,96528154.650000000,1.008233
286,DELHI,DELHI EAST,MANDOLI,All Ranges,7406,74,,96714100.820000000,1.898820
287,DELHI,DELHI EAST,MANDOLI,All Ranges,8205,82,,100825774.740000000,0.737258
